#{"t_start": 1683072175.546957, "env_id": null}
r,l,t
6700,6816,59.501978
6100,6195,123.441169
38700,14337,249.716577
2300,6103,308.010914
2000,7584,378.846708
2000,6837,432.78242
2000,6623,495.877886
1000,6560,548.071353
2000,6101,612.220152
1000,6776,675.607882
2000,6101,729.253535
2000,6101,791.563035
2000,6101,839.425914
1000,7255,908.521467
2000,6101,956.735951
2000,6101,1018.422433
2000,6101,1074.509811
2000,6101,1143.328932
2000,6101,1193.129311
2000,6101,1258.230492
2000,6101,1310.989382
2000,6101,1374.564933
2000,6101,1424.092425
2000,6101,1489.011145
2000,6101,1543.466227
0,6992,1610.980333
2000,6101,1659.354748
2000,6101,1721.529063
2000,7462,1792.912458
2000,6101,1844.565476
2000,6101,1905.627023
2000,6101,1954.187029
2000,6837,2017.630304
2000,6101,2066.865115
2000,6784,2129.743355
2000,6784,2192.930461
2000,6101,2243.233463
2000,6101,2306.859204
2000,6101,2355.752848
2000,5750,2403.92439
2000,5852,2463.242717
0,7880,2516.030679
2000,6101,2541.199248
2000,6101,2573.733457
2000,6101,2597.128998
2000,6101,2626.027587
2000,6101,2651.440622
2000,6101,2662.91637
2000,6101,2674.825404
2000,6101,2686.784364
2000,6101,2698.524593
2000,6101,2710.488051
2000,6101,2722.662791
2000,6101,2733.706229
2000,6101,2745.976006
2000,6101,2757.421895
